normalized_brand,primary_brand_db,parent_company,ownership_resolution_status,category_scope,market_scope,region_codes_include,country_or_region,brand_mapping_source,source_note,review_decision,proposed_company_from_review,current_company_from_review,review_product_count,review_note,example_product_names,example_off_brands_raw,candidate_action
u,u,Système U,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Système U,Manual review / complex ownership,Manual review / complex ownership,1953,Obvious Système U retailer/private-label brand line in France.,jus de carotte | 100% pur jus Multifruits | Multifruits 100% pur jus | Sirop Grenadine Zéro sucres | U Saveur Tropical,u | U | U | U | U,append_candidate
auchan,auchan,Auchan,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Auchan,Manual review / complex ownership,Manual review / complex ownership,1518,Obvious Auchan retailer/private-label brand line.,"beurre doux | beurre doux | BEURRE DOUX BIO | Fromage blanc 3,2 % MG | Parmiggiano reggiano",auchan | auchan | AUCHAN | Auchan | Auchan,append_candidate
auchan,auchan,Auchan,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Auchan,Manual review / complex ownership,Manual review / complex ownership,1380,Obvious Auchan retailer/private-label brand line.,Petit beurre | vienoiserie que varuabne | Abricotine | Galette Frangipane 8 Personnes | Paris brest,Auchan | auchan | Auchan | Auchan | Auchan,append_candidate
u,u,Système U,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Système U,Manual review / complex ownership,Manual review / complex ownership,1341,Obvious Système U retailer/private-label brand line in France.,chocolat noir | Tuiles salée a l'huile de tournesol | DONUTS FRAISE X4 | chocolat lait | tuiles goût salé,u | U | U | U | u,append_candidate
auchan,auchan,Auchan,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Auchan,Manual review / complex ownership,Manual review / complex ownership,1108,Obvious Auchan retailer/private-label brand line.,ORANGE SANGUINE | 100% pur jus pomme | Eau de source de montagne | Chocolat gourmand | café au lait,AUCHAN | Auchan | Auchan | Auchan | Auchan,append_candidate
u,u,Système U,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Système U,Manual review / complex ownership,Manual review / complex ownership,956,Obvious Système U retailer/private-label brand line in France.,Lait Frais Entier | Emmental râpé | BEAUFORT AOP | Crème anglaise | grana padano,U | U | U | U | U,append_candidate
wawa,wawa,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,906,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Wawa, Pumpkin Caramel Iced Latte, 16 Oz | Diet Green Tea | Cranberry juice coctail | Diet Half & Half Iced Tea Lemonade | Diet Iced Tea",Wawa | Wawa | Wawa | Wawa | Wawa,append_candidate
carrefour,carrefour,Carrefour,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,874,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",COMTE EXTRA | Lait de Montagne demi-écrémé | comte harmonie | Sechon Chèvre | Raclette Rich. Mont,CARREFOUR | Carrefour | carrefour | Carrefour | Carrefour,append_candidate
haribo,haribo,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,836,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Chamallows | happy'box | Haribo star mint | Peaches Kosher | Twin cherries gummi candy,Haribo | haribo | Haribo | Haribo | Haribo,append_candidate
marque repere,marque repere,E.Leclerc,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,778,Marque Repère is an E.Leclerc private-label brand.,Boisson au jus d'ananas | Thé vert menthe | Grenadine | Jus de pomme à base de concentré | Orange pur jus avec pulpe,"Marque Repère, Jafaden | Marque Repère | Marque Repère | Marque Repère | Marque Repère",append_candidate
