normalized_brand,parent_company,ownership_resolution_status,category_scope,market_scope,region_codes_include,primary_brand_db,country_or_region,brand_mapping_source,source_note,review_decision,proposed_company_from_review,current_company_from_review,review_product_count,review_note,example_product_names,example_off_brands_raw,candidate_action,ownership_resolution_status_original,status_correction_note
u,Système U,direct,beverages,FRANCE,FRANCE,u,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Système U,Manual review / complex ownership,Manual review / complex ownership,1953,Obvious Système U retailer/private-label brand line in France.,jus de carotte | 100% pur jus Multifruits | Multifruits 100% pur jus | Sirop Grenadine Zéro sucres | U Saveur Tropical,u | U | U | U | U,append_candidate,direct,
auchan,Auchan,direct,dairies,FRANCE,FRANCE,auchan,France | Algeria,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Auchan,Manual review / complex ownership,Manual review / complex ownership,1519,Obvious Auchan retailer/private-label brand line.,"beurre doux | beurre doux | BEURRE DOUX BIO | Fromage blanc 3,2 % MG | Parmiggiano reggiano | Raclette aux graines de moutarde",auchan | auchan | AUCHAN | Auchan | Auchan | Auchan,append_candidate,direct,
auchan,Auchan,direct,snacks,FRANCE,FRANCE,auchan,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Auchan,Manual review / complex ownership,Manual review / complex ownership,1380,Obvious Auchan retailer/private-label brand line.,Petit beurre | vienoiserie que varuabne | Abricotine | Galette Frangipane 8 Personnes | Paris brest,Auchan | auchan | Auchan | Auchan | Auchan,append_candidate,direct,
u,Système U,direct,snacks,FRANCE,FRANCE,u,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Système U,Manual review / complex ownership,Manual review / complex ownership,1341,Obvious Système U retailer/private-label brand line in France.,chocolat noir | Tuiles salée a l'huile de tournesol | DONUTS FRAISE X4 | chocolat lait | tuiles goût salé,u | U | U | U | u,append_candidate,direct,
auchan,Auchan,direct,beverages,FRANCE,FRANCE,auchan,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Auchan,Manual review / complex ownership,Manual review / complex ownership,1108,Obvious Auchan retailer/private-label brand line.,ORANGE SANGUINE | 100% pur jus pomme | Eau de source de montagne | Chocolat gourmand | café au lait,AUCHAN | Auchan | Auchan | Auchan | Auchan,append_candidate,direct,
u,Système U,direct,dairies,FRANCE,FRANCE,u,France | Afghanistan,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Système U,Manual review / complex ownership,Manual review / complex ownership,957,Obvious Système U retailer/private-label brand line in France.,Lait Frais Entier | Emmental râpé | BEAUFORT AOP | Crème anglaise | grana padano | Panna Cotta au caramel 2x120g,"U | U | U | U | U | U, U Saveurs",append_candidate,direct,
carrefour,Carrefour,direct,dairies,FRANCE,FRANCE,carrefour,France | Czech Republic,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,875,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",COMTE EXTRA | Lait de Montagne demi-écrémé | comte harmonie | Sechon Chèvre | Raclette Rich. Mont | Lait frais demi écrémé,CARREFOUR | Carrefour | carrefour | Carrefour | Carrefour | Carrefour,append_candidate,direct,
marque repere,E.Leclerc,direct,beverages,FRANCE,FRANCE,marque repere,France | Algeria | Andorra,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,783,Marque Repère is an E.Leclerc private-label brand.,Boisson au jus d'ananas | Thé vert menthe | Grenadine | Jus de pomme à base de concentré | Orange pur jus avec pulpe | 100% pur jus pomme | Eau de source de montagne fontaine | Eau de source aromatisées citron et citron vert | Boisson au thé aromatisé mangue,"Marque Repère, Jafaden | Marque Repère | Marque Repère | Marque Repère | Marque Repère | Jafaden, Marque Repère | Laqueuille,Marque Repère | O'Fresh,Marque Repère | Marque Repère, Fresh Tea | Marque Repère, Tiséa",append_candidate,direct,
danone,Danone,direct,dairies,FRANCE,FRANCE,danone,France | Algeria | Afghanistan | Australia | Czech Republic | Estonia,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Danone,Danone,782,Proposed company mapping is concrete; approve for launch.,SKYR | Cottage Cheese | Mousse au fromage blanc sur lit de fruits | Danonino | Skyr | Danao orange ananas | Brassé nature sucré | Danao | Yaourt danone | Danette vanille | Actimel Fraise offre Anniversaire | Actimel gout fraise 100 g x 12 | Light & free skyr nature 145 g x 1 | Danone aux fruits d'ici | BANANA YOGHURT | The Ultimate yoghurt by Danone - Natural & Sweet | Activia medové müsli | Actimel,"DANONE | Danone | Danone | Danone | Danone | Danone | Danone | Danone | danone | Danone | Danone | Danone | Danone, Light & free, Light & free skyr | Danone | DANONE | Danone | Danone",append_candidate,direct,
paturages,Les Mousquetaires / Intermarché,direct,dairies,FRANCE,FRANCE,paturages,France | Afghanistan,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Les Mousquetaires / Intermarché,Manual review / complex ownership,Manual review / complex ownership | Other / not mapped to a company,749,Pâturages is an Intermarché / Les Mousquetaires private-label dairy line.,"Raclette | emmental français rapé | Fromage frais | Flan pâtissier | Faisselle | Yaourt sucre de canne x4 naturéa | Fromage frais nature 3,2% 4x100g | Lait écrémé 0% | Creme fraiche 30% mg epaisse 20cl | YAOURT AU LAIT ENTIER POT VERRE 4X125G - saveur citron | Lait uht 1/2 ecreme bbc bt 50cl | Yaourt au lait entier saveur vanille | Liegeois caramel 4x100g | L'essentiel du yaourt + des framboise & du sucre c'est tout | Mozzarella di bufala aop bio 125g | Fromage Le Carré tendre & fondant | Lait uht entier bq 1l | Crème Fraîche Épaisse Entière (30 % MG) | P'TIT AROM YAOURT AROMATISE 16X125G - fruits des bois, noix de coco, framboise, abricot, banane, fraise - P'tits Prods | Lait frais demi-écrémé | Lait uht 1/2 ecreme bt 1l | ST MARCELLIN IGP LT 2x80G Massif TRAD | Picodon aop 2x60g | Petit Pouligny Saint Pierre AOP, le fromage de | FOURME D'AMBERT AOP 200G Massif Trad | PANNA COTTA FRAMBOISE 2x120g | Tiramisu Framboise Les Créations | Le Gourmet café intense | Le brasse - yaourt nature 0% 8x125g | Printiligne | Yaourt étuvé bio vanille 4x125g | Comté | Yaourt brassé nature bio 4x125g | Spécialité aux noix | Beaufort aop 200g | Beurre moulé doux | yaourt de brebis sur lit de châtaigne 2x125g | CD CHOCOLAT BIO 4X95g | Yaourt a la grecque au caramel beurre sale 4x150g","Pâturages | paturages | Pâturages | pâturages | Pâturages | Intermarché, Pâturages | Intermarché, Pâturages | Intermarché, Pâturages | Intermarché,Paturages,Printiligne | Intermarché, Paturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Intermarché Pâturages, Paturages | Leader Price, Intermarché, Pâturages | Les Mousquetaires, Páturages, Sélection des Mousquetaires | Les Mousquetaires, Páturages, Sélection des Mousquetaires | Les Mousquetaires, Páturages, Sélection des Mousquetaires | Les Mousquetaires, Páturages, Sélection Intermarché | Les Mousquetaires, Páturages, Sélection des Mousquetaires | Itineraire de nos regions, Paturages | Itineraire de nos regions, Itinéraire des Saveurs, Paturages | Itineraire de nos regions, Paturages, itinéraire des saveurs | Itineraire de nos regions, Paturages, Saint-Bonnet | Les Créations, Pâturages | Les Créations, Pâturages | Les Créations, Paturages | Printiligne, Paturages | Printiligne, Pâturages, selection Intermarché | Bio paturages, Paturages | Comté, Pâturages | Eurial, Intermarché, Pâturages | Fromagerie Lincet Saint Julien, Pâturages | Itinéraire des Saveurs, Paturages, Itineraire de nos regions | Laiterie Saint-Père, Pâturages | Le petit basque, Pâturages | Paturage, Paturages | Paturages",append_candidate,direct,
