variant_brand,canonical_brand,pattern,variant_count,canonical_count,confidence,action,notes
carrefour bio,carrefour,prefix,761,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
monoprix gourmet,Monoprix Gourmet,reviewed_groupe_casino_private_label,386,,high,confirm,reviewed Groupe Casino France decision; company_decision=Groupe Casino; source=groupe_casino_private_label_review_20260831
auchan bio,Auchan Bio,reviewed_auchan_private_label,407,,high,confirm,reviewed Auchan France private-label decision; company_decision=auchan; example: 100 % pur jus bio Auchan
tesco finest,Tesco Finest,reviewed_tesco_private_label,110,,high,confirm,reviewed Tesco UK/IE decision; company_decision=Tesco; source=tesco_private_label_review_uk_ie_20260901
u bio,U Bio,reviewed_groupe_u_private_label,589,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
coca cola,coca-cola,punctuation,134,670,high,confirm,Non-executable guardrail; exact reviewed evidence required.
casino bio,Casino Bio,reviewed_groupe_casino_private_label,262,,high,confirm,reviewed Groupe Casino France decision; company_decision=Groupe Casino; source=groupe_casino_private_label_review_20260831
meijer inc.,meijer,prefix,112,1401,high,confirm,Non-executable guardrail; exact reviewed evidence required.
wegmans organic,wegmans,prefix,111,943,high,confirm,Non-executable guardrail; exact reviewed evidence required.
sainsbury's taste the difference,sainsbury's,prefix,107,1036,high,confirm,Non-executable guardrail; exact reviewed evidence required.
co-op,co op,punctuation,106,108,high,confirm,Non-executable guardrail; exact reviewed evidence required.
hy-vee inc.,hy-vee,prefix,88,552,high,confirm,Non-executable guardrail; exact reviewed evidence required.
monoprix bio,monoprix,prefix,69,1583,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
coop naturaplan,Naturaplan,reviewed_swiss_coop_private_label,60,,high,confirm,reviewed Swiss Coop cleanup; company_decision=Coop; source=coop_swiss_private_label_cleanup_20260831
lustucru selection,lustucru,prefix,63,451,high,confirm,Non-executable guardrail; exact reviewed evidence required.
monoprix bio !,monoprix,prefix,61,1583,high,confirm,Non-executable guardrail; exact reviewed evidence required.
monster energy company,monster energy,geo_suffix,61,127,high,,suffix removed: 'company'
wegmans food markets inc.,wegmans,prefix,52,943,high,confirm,Non-executable guardrail; exact reviewed evidence required.
m classic,M-Classic,reviewed_migros_private_label,66,,high,confirm,reviewed Migros France spillover decision; company_decision=Migros; source=migros_private_label_review_20260831
winn-dixie,winn dixie,punctuation,47,119,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour selection,carrefour,prefix,46,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lindt & sprungli,lindt,prefix,44,1105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
kraft foods,kraft,prefix,43,280,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
h-e-b organics,h-e-b,prefix,42,482,high,confirm,Non-executable guardrail; exact reviewed evidence required.
u saveurs,U Saveurs,reviewed_groupe_u_private_label,378,,high,confirm,reviewed Groupe U France decision; company_decision=Groupe U; source=groupe_u_private_label_review_20260831
kettle brand,kettle,prefix,40,219,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ferrero rocher,ferrero,prefix,38,529,high,confirm,Non-executable guardrail; exact reviewed evidence required.
waitrose & partners,waitrose,prefix,38,740,high,confirm,Non-executable guardrail; exact reviewed evidence required.
ghirardelli chocolate company,ghirardelli chocolate,geo_suffix,36,120,high,,suffix removed: 'company'
quaker oats,quaker,prefix,36,497,high,confirm,Non-executable guardrail; exact reviewed evidence required.
7-select,7 select,punctuation,33,74,high,confirm,Non-executable guardrail; exact reviewed evidence required.
carrefour discount,carrefour,prefix,33,5386,high,confirm,Non-executable guardrail; exact reviewed evidence required.
bel brands usa,bel,prefix,30,153,high,confirm,Non-executable guardrail; exact reviewed evidence required.
coca-cola company,coca-cola,prefix,29,670,high,manual_review,Non-executable guardrail; exact reviewed evidence required.
lindt excellence,lindt,prefix,29,1105,high,confirm,Non-executable guardrail; exact reviewed evidence required.
lotus foods,lotus,prefix,29,233,high,confirm,Non-executable guardrail; exact reviewed evidence required.
jelly belly candy company,jelly belly,prefix,28,186,high,confirm,Non-executable guardrail; exact reviewed evidence required.
weis markets inc.,weis,prefix,27,189,high,confirm,Non-executable guardrail; exact reviewed evidence required.
