gtin,region,reviewed_brand,reviewed_company,reviewed_category,source,status,audit_note,audit_basis,audit_source,reviewed_at
4311596490202,,Boost,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,BOOST/Booster collision outside Nestlé nutritional-drink portfolio.,product evidence + conservative exclusion,Product-name / GTIN evidence in current audit,2026-09-02
4055400007506,,Boost,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,BOOST/Booster collision outside Nestlé nutritional-drink portfolio.,product evidence + conservative exclusion,Product-name / GTIN evidence in current audit,2026-09-02
4044703011532,,Boost,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,BOOST/Booster collision outside Nestlé nutritional-drink portfolio.,product evidence + conservative exclusion,Product-name / GTIN evidence in current audit,2026-09-02
4311596490363,,Boost,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,BOOST/Booster collision outside Nestlé nutritional-drink portfolio.,product evidence + conservative exclusion,Product-name / GTIN evidence in current audit,2026-09-02
4055400007483,,Boost,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,BOOST/Booster collision outside Nestlé nutritional-drink portfolio.,product evidence + conservative exclusion,Product-name / GTIN evidence in current audit,2026-09-02
96147450,,Boost,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,BOOST/Booster collision outside Nestlé nutritional-drink portfolio.,product evidence + conservative exclusion,Product-name / GTIN evidence in current audit,2026-09-02
3525722019958,,Boost,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,BOOST/Booster collision outside Nestlé nutritional-drink portfolio.,product evidence + conservative exclusion,Product-name / GTIN evidence in current audit,2026-09-02
8413080461135,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
8413080704232,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
8413080532774,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
8413080002789,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
8413080385288,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
8413080385271,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
8413080293255,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
8413080385295,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
8413080299707,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
8413080289333,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
8413080483106,,gourmet,Other / not mapped to a company,beverages,nestle_top9_product_audit_20260902,active,Human-food products collided with Nestlé/Purina Gourmet pet-food portfolio name; remove from Nestlé.,manual review + portfolio-scope rule,Manual product-image review in this audit,2026-09-02
