review_rank,review_priority_bucket,review_priority_reason,review_suggestion,reviewer_decision,reviewer_note,barcode,product_name,brand,company,region,category,image_url,nutrition_quality_status,nutrition_quality_reason,energy_kcal_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,energy_kcal_macro_diff_pct_abs,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts,scenario_c_proposed_treatment,scenario_c_review_status,scenario_c_rationale
1,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968001644,Orange fit,tonisssteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/800/1644/front_fr.17.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,5.0,4.0600000000000005,0.9399999999999996,0.1879999999999999,0.1879999999999999,0.07,0.9,0.02,0.9,0.0,,0.05,1.4,18.0,0.4,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
2,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,20490355,Freeway Cola Light,freeway,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/002/049/0355/front_fr.24.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.8,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.1,0.1,0.0,0.1,0.0,0.1,0.02,10.0,10.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
3,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,20769475,Green tea natural,lord nelson,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/002/076/9475/front_fr.22.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.8,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
4,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,20769543,Green tea lemon,nord nelson,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/002/076/9543/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.8,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.0,0.2,0.0,0.1,0.0,,,0.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
5,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,27044421,,natural & organic westminster,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/000/002/704/4421/front_nl.25.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,0.8,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.0,0.2,0.0,0.1,0.0,0.0,0.1,0.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
6,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3124480172013,Oasis Tropical Zéro,oasis,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/312/448/017/2013/front_fr.58.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,7.0,5.6000000000000005,1.3999999999999997,0.1999999999999999,0.1999999999999999,0.1,1.3,0.0,1.2,0.0,0.0,0.04,1.4285714285714286,18.571428571428573,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
7,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8002270666667,SANPELLEGRINO Momenti boisson gazeuse aromatise clémentine pêche 33cl,nestle,Nestlé,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/800/227/066/6667/front_fr.227.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,11.0,8.8,2.2,0.1999999999999999,0.1999999999999999,0.0,2.2,0.0,2.2,0.0,0.0,0.0,0.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
8,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3585810084213,White Belllini tè bianco aromatizzato alla pesca e albicocca,kusmi tea,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/358/581/008/4213/front_it.16.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
9,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3700111085442,Epicerie / Thé Bio Et équitable / Thé Vert,destination,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/370/011/108/5442/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,,0.0,10.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
10,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3700324434600,Thé vert bio fête divine,nature & decouvertes,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/370/032/443/4600/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,,0.0,10.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
11,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4012824401938,Énergie du thé vert,yogitea,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/401/282/440/1938/front_fr.16.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,,0.0,10.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
12,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4012824404663,Pure hapiness thé,yogi tea,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/401/282/440/4663/front_fr.16.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
13,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5055953902463,Thé vert,twinings,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/505/595/390/2463/front_fr.35.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
14,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,8000990100010,Thé yellow label,lipton,LIPTON Teas and Infusions,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/800/099/010/0010/front_nl.37.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.0,1.2000000000000002,-0.2000000000000001,-0.2000000000000001,0.2000000000000001,0.1,0.2,0.0,0.0,0.0,0.0,0.0,10.0,20.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
15,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968053612,Tonissteiner orange fit,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/805/3612/front_fr.20.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,5.2,4.0600000000000005,1.1399999999999997,0.2192307692307691,0.2192307692307691,0.07,0.9,0.02,0.9,0.01,,0.05,1.3461538461538465,17.307692307692307,0.3846153846153846,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
16,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968031658,Tönissteiner Orange Fit limonade,privatbrunnen tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/803/1658/front_fr.8.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,1.57575757575758,1.230303030303031,0.3454545454545492,0.219230769230771,0.219230769230771,0.0212121212121212,0.272727272727273,0.006060606060606,0.272727272727273,0.0003030303030303,,0.0151515151515152,1.3461538461538418,17.307692307692278,0.3846153846153797,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
17,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,31200457035,Cranberry,oceanspray,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/003/120/045/7035/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,10.0,7.6,2.4000000000000004,0.24,0.24,0.0,1.9,0.0,1.9,0.0,0.0,0.01,0.0,19.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
18,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,3249760011315,Miss O! - Orangina et sa pulpe!,orangina,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/324/976/001/1315/front_fr.7.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,8.0,6.0,2.0,0.25,0.25,0.1,1.4,0.0,1.2,0.0,0.3,0.0,1.25,17.5,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
19,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968031634,Tönissteiner Zitrone Fit,privatbrunnen tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/803/1634/front_nl.6.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.3,3.13,1.17,0.2720930232558139,0.2720930232558139,0.06,0.7,0.01,0.7,0.006,,0.02,1.3953488372093024,16.279069767441857,0.2325581395348837,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
20,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,5410221333088,Gini Lemon Zero,gini,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/541/022/133/3088/front_fr.19.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,5.0,3.6,1.4,0.2799999999999999,0.2799999999999999,0.1,0.8,0.0,0.6,0.0,0.1,0.1,2.0,16.0,0.0,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
21,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968001620,Tönissteiner citron,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/800/1620/front_fr.25.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.4,3.13,1.2700000000000005,0.2886363636363637,0.2886363636363637,0.06,0.7,0.01,0.7,0.006,,0.05,1.363636363636363,15.909090909090908,0.2272727272727272,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
22,beverage_energy_not_captured_by_macros,"Beverage has reported energy but near-zero macro energy; alcohol, acids, or labeling conventions may explain the gap.",candidate_for_rule_review,,,4002968001637,Tonissteiner zitrone fit,tonissteiner,,BENELUX|FRANCE,beverages,https://images.openfoodfacts.org/images/products/400/296/800/1637/front_fr.5.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,4.4,3.13,1.2700000000000005,0.2886363636363637,0.2886363636363637,0.06,0.7,0.01,0.7,0.006,,0.05,1.363636363636363,15.909090909090908,0.2272727272727272,True,False,False,include_in_market_overview_calculations_and_charts,pending_julia_review,"Beverage energy can be affected by alcohol, fermentation, acids, sweeteners, or low-kcal rounding; the simple macro formula is not reliable enough as a standalone exclusion rule."
