normalized_brand,brand_family,current_company_owner,proposed_company_owner,proposed_action,proposal_reason,query_category,primary_country,observed_market_region_codes,product_count,legacy_primary_brand_examples,brand_entity_raw_examples,brand_entity_source_examples,brand_alias_source_examples,brand_alias_review_status_examples,example_product_names,example_off_brands_raw,example_image_urls,example_barcodes,julia_decision,julia_company_override,julia_note
u,u,Manual review,Coopérative U,map_to_company,obvious French retailer/private-label banner,beverages,France,FRANCE,1612,u,u,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Multifruits 100% pur jus | Sirop Grenadine Zéro sucres | U Saveur Tropical | Panaché | Bière blonde de Caractère,"U | u | U, Vin rouge | U, mac gallagan | U, U Tout Petits",https://images.openfoodfacts.org/images/products/000/001/014/2677/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/001/121/5321/front_fr.10.400.jpg | https://images.openfoodfacts.org/images/products/200/000/002/1347/front_fr.7.400.jpg | https://images.openfoodfacts.org/images/products/200/000/002/1542/front_fr.7.400.jpg | https://images.openfoodfacts.org/images/products/200/000/091/6019/front_fr.4.400.jpg,10142677 | 11215321 | 11322450 | 2000000021347 | 2000000021542,,,
u,u,Manual review,Coopérative U,map_to_company,obvious French retailer/private-label banner,snacks,France,FRANCE,1080,u,u,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,tuiles goût salé | Tuiles salée a l'huile de tournesol | Chocolat Noir Gingembre Citron | chocolat noir U bio | pains au chocolat,"u | U | U, U Tout Petits | U, U Mat & Lou | U,U Mat & Lou",https://images.openfoodfacts.org/images/products/000/001/071/8384/front_fr.14.400.jpg | https://images.openfoodfacts.org/images/products/000/000/139/6386/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/000/001/398/3718/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/000/001/681/1393/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/001/789/4722/front_fr.8.400.jpg,10718384 | 1396386 | 13983718 | 16811393 | 17894722,,,
marque repere,marque repere,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc private-label line,beverages,France,FRANCE,781,marque repere | laqueuille | ofresh | jafaden,marque repere,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Boisson au jus d'ananas | Grenadine | Jus de pomme à base de concentré | Orange pur jus avec pulpe | Jus de raisin,"Marque Repère, Jafaden | Marque Repère | Marque Repère, Bon Choco | Marque Repère,Les Goelleries | Marque Repère, Les Goelleries",https://images.openfoodfacts.org/images/products/000/001/327/4134/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/000/001/858/0464/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/200/000/009/3192/front_fr.5.400.jpg | https://images.openfoodfacts.org/images/products/241/421/402/5847/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/318/470/064/4782/front_fr.7.400.jpg,1213919 | 13274134 | 18580464 | 2000000093192 | 2414214025847,,,
paturages,paturages,Manual review,Intermarché / Les Mousquetaires,map_to_company,obvious Intermarché private-label line,dairies,France,FRANCE,738,paturages | comte | intermarche | les mousquetaires | leader price,paturages,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,yaourt | Flan pâtissier | Crème fraîche épaisse entière | Paturette chocolat blanc | fromage frais,"pâturages | Pâturages | paturages | Paturages | Comté, Pâturages",https://images.openfoodfacts.org/images/products/000/000/115/9923/front_fr.13.400.jpg | https://images.openfoodfacts.org/images/products/000/000/122/3411/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/001/254/3960/front_fr.13.400.jpg | https://images.openfoodfacts.org/images/products/000/001/376/3664/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/000/147/2129/front_fr.4.400.jpg,1159923 | 11672218 | 1223411 | 12543960 | 12827628,,,
u,u,Manual review,Coopérative U,map_to_company,obvious French retailer/private-label banner,dairies,France,FRANCE,668,u,u,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Bleu d'Auvergne | Bleu d'Auvergne thermisé AOP | Mozzarella | Lait en poudre écrémé | SEMOULE AU LAIT A LA VANILLE,"U | u | U, U tout petits | U, U Tout Petits | U, U Mat & Lou",https://images.openfoodfacts.org/images/products/000/001/145/1471/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/125/612/448/9170/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/012/922/431/0211/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/000/001/391/3489/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/000/001/393/6778/front_fr.3.400.jpg,11451471 | 1256124489170 | 129224310211 | 13913489 | 13936778,,,
lipton,lipton,Manual review,Other / not mapped to a company,replace_with_other,Lipton ownership/channel is complex; avoid Manual review label by using Other for launch,beverages,France,FRANCE,616,lipton | feel good selection | ice tea | elephant | nestle,lipton,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Infusion | Iced Tea Peach | thé orange jaïpur | Ice tea pêche | Thé vert menthe Lipton,"Lipton | Lipton, Mcdonald's | LIPTON | LIPTON, Liptonic | Lipton, Pepsico",https://images.openfoodfacts.org/images/products/000/100/287/3256/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/001/200/013/0922/front_en.54.400.jpg | https://images.openfoodfacts.org/images/products/000/000/121/6129/front_fr.5.400.jpg | https://images.openfoodfacts.org/images/products/000/001/355/8086/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/000/001/358/1763/front_fr.4.400.jpg,1002873256 | 12000130922 | 1216129 | 13558086 | 13581763,,,
starbucks,starbucks,Manual review,Starbucks,map_to_company,visible Starbucks brand; leave ownership/licensing detail for later,beverages,United States,US_CANADA,596,starbucks,starbucks,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,"Starbucks, Teavana Shaken Berry Sangria Herbal Tea, Tall | Vanilla Doubleshot Energy | Starbucks, Teavana Shaken Strawberry Green Tea Infusion, Grande | Starbucks, Teavana Shaken Pineapple Black Tea Infusion Lemonade, Trenta Iced | Starbucks, Honey Citrus Mint Tea, Grande","Starbucks | STARBUCKS | Starbucks,Starbucks Refreshers | Starbucks, Conifer Specialties Inc. | Starbucks, Formation Brands Llc",https://images.openfoodfacts.org/images/products/102/104/206/4064/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/001/200/003/8488/front_en.18.400.jpg | https://images.openfoodfacts.org/images/products/001/200/004/1396/front_en.7.400.jpg | https://images.openfoodfacts.org/images/products/001/200/004/4953/front_en.3.400.jpg | https://images.openfoodfacts.org/images/products/001/200/004/5523/front_en.3.400.jpg,1006154707448969259100351 | 1021042064064 | 10416394864409532631416 | 10476844584102496833 | 1064821734486584738232872,,,
casino,casino,Manual review,Casino Group,map_to_company,obvious French retailer/private-label banner,beverages,France,FRANCE,547,casino,casino,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,jus d Orange | Jus de pomme | Cidre de Bretagne | James Dowell Blended Scotch Whisky | Voyage Bergère Thé vert à la menthe nanah,"casino | Casino | Casino, Guichard Perrachon | Casino, L’estaque | Casino, Groupe Casino",https://images.openfoodfacts.org/images/products/000/001/118/1123/front_fr.25.400.jpg | https://images.openfoodfacts.org/images/products/000/001/559/1951/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/322/247/011/1360/front_fr.13.400.jpg | https://images.openfoodfacts.org/images/products/322/247/100/1448/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/322/247/100/2063/front_fr.80.400.jpg,11181123 | 15591951 | 3040718074211 | 3222470100005 | 3222470111360,,,
marque repere,marque repere,Manual review,E.Leclerc,map_to_company,obvious E.Leclerc private-label line,snacks,France,FRANCE,547,marque repere | ptit deli | tokapi | eskiss | chaque jour sans gluten,marque repere,existing_company_brand_mapping_token_match,existing_company_brand_mapping_alias,confirmed,Apéro roulés | Ecuador | Noir extra | Equador noir Extra 85% cacao | Pépites de chocolat,"Marque Repère | Marque Repère, Tablier blanc | Marque Repère, Equador | Marque Repère, P'tit Déli | Marque Repère,P'tit Déli",https://images.openfoodfacts.org/images/products/000/001/123/8720/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/016/758/024/7857/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/020/901/702/2566/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/313/578/923/3893/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/325/470/046/3024/front_fr.3.400.jpg,11238720 | 167580247857 | 209017022566 | 3135789233893 | 3254700463024,,,
casino,casino,Manual review,Casino Group,map_to_company,obvious French retailer/private-label banner,dairies,France,FRANCE,525,casino,casino,first_off_brand_token_fallback,brand_entity_raw_fallback,fallback_unreviewed,Yaourt à la pêche | Lait demi-écrémé | Lait frais entier pasteurisé | Emmental français | Crottin de chèvre au lait pasteurisé,"Casino | casino | Casino, Groupe Casino | CASINO | Casino, Uncle Ben's",https://images.openfoodfacts.org/images/products/000/001/135/5465/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/000/001/303/3361/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/001/336/3598/front_fr.3.400.jpg | https://images.openfoodfacts.org/images/products/000/001/370/3653/front_fr.4.400.jpg | https://images.openfoodfacts.org/images/products/000/001/632/3117/front_fr.3.400.jpg,11355465 | 13033361 | 13363598 | 13703653 | 16323117,,,
