region,beverage_view_segment,record_count,product_examples
BENELUX|DACH|UK_IE,beverage_preparations_and_alcohol,2,Captain Morgan Tiki - Mango & Pineapple Flavour | Cinzano Bianco
BENELUX|DACH|UK_IE,ready_to_drink_beverages,3,"Volvic Nature 6x150cl PET | Alpro Sojadrink, Schokoladen-Geschmack 3x250ml | Aquarius water zinc - lemon"
BENELUX|FRANCE,beverage_preparations_and_alcohol,461,Thé vert au Jasmin Twinings | Thé de CEYLAN | Fruit Tea Sampler Infusion | Lait de coco | Pomegranate green tea | Pomegranate green tea | Goose IPA | Capsules café arabica espresso kenya | Côtes du Rhône Villages | Ginger beer
BENELUX|FRANCE,ready_to_drink_beverages,900,Cranberry classic | Cranberry 0% sucres ajoutés | Cranberry | Limonade Japonaise Ramune Goût Framboise | Iced tea lemon flavor | Half Iced Tea & Half Lemonade | Green Tea zero | 50CL COCKTAIL FRUIT ARIZONA | Strawberry Lemonade with Fruit Juice & Honey | Organic Kombucha Passion fruit & Lemon
BENELUX|FRANCE,unknown_beverage_segment,63,Tropical 6 Flesjes x 50 CL (nono) | Rocheval | Soupe instantanee citrouille | Pear | White Belllini tè bianco aromatizzato alla pesca e albicocca | Tonissteiner zitrone fit | Tönissteiner Zitrone Fit | Tonissteiner orange fit | Früchtekorb fit | Lemon fresh
BENELUX|FRANCE|DACH,beverage_preparations_and_alcohol,106,Original Earl Grey | Lady grey Goût russe | thé vert au citron | Original Green tea with honey | Cappuccino Caramel | Jus de Tomate au Sel Marin ou Jus de Carotte au Miel | coconut milk | Grand Marnier | GET 27 | Noilly Prat
BENELUX|FRANCE|DACH,ready_to_drink_beverages,130,Canard à l’orange | Arizona Mucho Mango | Tropicana orange without pulp | Fruitesse on the rocks | Solevita Orangensaft | Almond drink | Multivitamin aus 11 Früchten und Karotte | Orangensaft XXL | Saft - Tomatensaft mit Meersalz | Eau pétillante
BENELUX|FRANCE|DACH,unknown_beverage_segment,19,Orange | Orange | Jungle/Safari | Safari fruits | Mildes-Frühstück Orange | Multi Mix gelb | Apfel & Beeren Direktsaft | Orange | Oasis Pocket Cassis Framboise | Gingko groene thee
BENELUX|FRANCE|DACH|NORDICS,ready_to_drink_beverages,2,Orange juice | Alpro Biologischer Sojadrink 1L
BENELUX|FRANCE|DACH|NORDICS,unknown_beverage_segment,1,"Alpro Kokosproduckt zum Kochen, Cuisine 250ml"
BENELUX|FRANCE|DACH|NORDICS|SOUTHERN_EUROPE,ready_to_drink_beverages,1,Bleue
BENELUX|FRANCE|DACH|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,21,NESQUIK Cacao | Johnnie Walker Red Scotch whisky | Kentucky Straight Bourbon Whiskey | Thé vert aronia et myrtille | Abbeye be Leffe Blond Beer | Leffe Blonde 🍺 | Biere | Trappist tripel | Tea forest fruit | Brugal Añejo Rhum 38º
BENELUX|FRANCE|DACH|SOUTHERN_EUROPE,ready_to_drink_beverages,16,"Ricard | Tasty Chocolate Food in A Bottle | Coca-Cola zéro | Blonde dorée | Dubbel | soya Vanille | SOYA melk pakje 240 ml | Alpro Mandeldrink Weiß Ungesüßt, Ungeröstet 1 LT | Trappistes Rochefort 8 | Cocacola zero sugar"
BENELUX|FRANCE|DACH|SOUTHERN_EUROPE,unknown_beverage_segment,3,Fruitesse on the rocks
BENELUX|FRANCE|DACH|SOUTHERN_EUROPE|NORDICS,ready_to_drink_beverages,1,Coca-Cola Zero
BENELUX|FRANCE|DACH|SOUTHERN_EUROPE|NORDICS|UK_IE,ready_to_drink_beverages,1,"Alpro Mandeldrink, Original 1L"
BENELUX|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,beverage_preparations_and_alcohol,4,"Desperados | Bee Zen Pêche & Miel | Crema e Gusto Classico | Illy Classico 100% Arabica, 250g"
BENELUX|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,ready_to_drink_beverages,5,Organic Ginger Turmeric Shot | Kriek original | Coca-Cola goût original | Aloe Lemon | Cocacola mini zero sugar
BENELUX|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE,unknown_beverage_segment,3,Succo di limone | Shot de gingembre bio | Coco Sans Sucres
BENELUX|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE|US_CANADA,ready_to_drink_beverages,1,Coke Zero
BENELUX|FRANCE|DACH|SOUTHERN_EUROPE|UK_IE|US_CANADA,unknown_beverage_segment,1,isabelle
BENELUX|FRANCE|DACH|UK_IE,beverage_preparations_and_alcohol,9,Angostura - aromatic bitters | Apfelsaft aus Apfelsaftkonzentrat | Водка «Русский стандарт» | Blended Scotch Whisky | Ardbeg Ten Years Old | Jack Daniel's Whiskey | Caffè Karamel Soya | Absolut Vodka | Caykur Gray Tea
BENELUX|FRANCE|DACH|UK_IE,ready_to_drink_beverages,16,"Eau Volvic | Evian 500ml | Eau Evian - 1L | Evian | BjORG AMANDE ALMOND SANS SUCRE- NO SUGAR | CRISTALINE Eau De Source 0.5L | Pepsi Max | MEDITERRANEAN TONIC WATER | Alpro Sojadrink Original fresh mit Calcium, 1 L, 11 | Sprite 330 ml"
BENELUX|FRANCE|DACH|UK_IE,unknown_beverage_segment,3,Карамельный сироп | Capirosso - Toscana
BENELUX|FRANCE|DACH|UK_IE|US_CANADA,ready_to_drink_beverages,1,Coconut Water
BENELUX|FRANCE|DACH|US_CANADA,beverage_preparations_and_alcohol,1,Orval Trappist
BENELUX|FRANCE|NORDICS,ready_to_drink_beverages,2,Kombucha D-tox | Capri-Sun Summer Berries
BENELUX|FRANCE|NORDICS,unknown_beverage_segment,1,Orange Icon
BENELUX|FRANCE|NORDICS|DACH,ready_to_drink_beverages,1,Fanta Orange sans sucres
BENELUX|FRANCE|NORDICS|SOUTHERN_EUROPE,unknown_beverage_segment,1,4000177158210
BENELUX|FRANCE|SOUTHERN_EUROPE,beverage_preparations_and_alcohol,30,Angostura | Zumo de Manzana | Té verde | Ristretto Espresso | Forte lungo | Poudre cacaotée 32 % de cacao maigre | Intenso | Jus d'orange à base de concentré | Espresso | Saveur grenadine
BENELUX|FRANCE|SOUTHERN_EUROPE,ready_to_drink_beverages,48,Eau pure life | Proteindrink | Iced tea saveur pêche | CRISTALINE Eau De Source 1L | Fresh Tonic Soda avec sucre et édulcolorants | Orange sans pulpe | Jus de pomme | 100% pur jus tomate | 100% pur jus jus d'orange avec pulpe | Amande Sans sucres
BENELUX|FRANCE|SOUTHERN_EUROPE,unknown_beverage_segment,4,BIO GINGER MANGO-LIME SHOT | Organic Sparkling Elderflower | COCO & ALMOND | Soya Red Fruits
