query_category,observed_market_region_codes,current_primary_brand,proposed_primary_brand,detected_portfolio_group,detection_source,detection_reason,record_count,example_product_names,example_raw_brands
beverages,US_CANADA,starbucks,starbucks,,no_change,no more-specific Top 9 portfolio brand detected,581,"Starbucks, Teavana Shaken Berry Sangria Herbal Tea, Tall | Vanilla Doubleshot Energy | Starbucks, Teavana Shaken Strawberry Green Tea Infusion, Grande | Starbucks, Teavana Shaken Pineapple Black Tea Infusion Lemonade, Trenta Iced | Starbucks, Honey Citrus Mint Tea, Grande",starbucks | starbucks | starbucks | starbucks | starbucks
dairies,FRANCE,danone,danone,,no_change,no more-specific Top 9 portfolio brand detected,429,SKYR | Yaourt aux ferments d'origine naturelle | Emmental français | Veloute Fruix Framboise | Yaourt,danone | danone | danone | danone | danone
dairies,FRANCE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,326,Yaos yaourt a la grecque pulpe citron | Concentré sucré | Feuilleté de mousse la Laitière | Lait concentré sucré | ferme et fondant,nestlé | nestlé | nestlé | nestlé | nestlé
beverages,FRANCE,coca cola,coca cola,,no_change,no more-specific Top 9 portfolio brand detected,294,Coca cola | Coca cola zero | Coca-Cola | Coca-cola Zero | Coca cola,coca-cola | coca cola zero | coca-cola | coca-cola | coca-cola
snacks,FRANCE,nestle,nestle,,no_change,no more-specific Top 9 portfolio brand detected,262,"Tablette chocolat Nestle | Code-barres inexistant et/ou fiche incomplète, obsolète ou en doublon | Chocolat noir bio Nestlé | les recettes de l atelier",nestlé | nestlé | nestlé | nestlé | nestlé
dairies,US_CANADA,kraft,kraft,,no_change,no more-specific Top 9 portfolio brand detected,198,"Colby Natural Cheese, Colby | Kraft, Natural Pepper Jack Cheese | Mozzarella Low-Moisture Part-Skim Natural Cheese, Mozzarella | Sharp Cheddar Natural Cheese, Sharp Cheddar | Monterey Jack Cheese",kraft | kraft | kraft | kraft | kraft
dairies,FRANCE,activia,activia,,no_change,no more-specific Top 9 portfolio brand detected,185,"Activia So Délicat Pointe de Citron Vert | Yaourt Activia au bifidus | activia fruits mixés | flocons d'avoine myrtille-açai | Activia Recette au fromage blanc (2,9 % MG) Saveur Vanille","activia, danone | activia, danone | activia, danone | activia,danone | activia, danone"
snacks,US_CANADA,hersheys,hersheys,,no_change,no more-specific Top 9 portfolio brand detected,175,"Payday, 1.85 oz | jolly rancher gummy sours | Milk Chocolate with Almonds | Kisses Cookies 'n' Creme | Milk Chocolate",hershey's | hershey’s | hershey's | hershey's | hershey's
beverages,FRANCE,nestle,san pellegrino,Nestlé,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; portfolio brand appears in OFF brands field,166,San Pellegrino | Woda San Pellegrino | S.pellecrino | Sanpellegrino aranciata | Cocktail,"nestlé,san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino | nestlé, san pellegrino"
dairies,FRANCE,nestle,la laitiere,,top_company_portfolio_matrix_off_brands,current primary brand is parent/company token; another OFF brand token needs brand-level review,135,Velours de Crème Chocolat au lait | La Laitière yaourt bio à la vanille | L'onctueux sur lit de myrtilles BIO | Mousse Grand Chocolat. Copeaux & Coulis Chocolat | Velours de creme chocolat x4,"nestlé, la laitière | nestlé, la laitière | nestlé, la laitière | nestlé, la laitière | nestlé, la laitière"
dairies,FRANCE,danette,danette,,no_change,no more-specific Top 9 portfolio brand detected,123,"Danette saveur vanille magix | Danette extra noir | Danette saveurs pistache | P'tite danette chocolat et lait 70 g x 6 | Crème Dessert Danette Danone, Chocolat Prix Choc","danette, danone | danette, danone | danette, danone | danette, danette gouter au lait, danone | danette, danone"
