normalized_brand,primary_brand_db,parent_company,ownership_resolution_status,category_scope,market_scope,region_codes_include,country_or_region,brand_mapping_source,source_note,review_decision,proposed_company_from_review,current_company_from_review,review_product_count,review_note,example_product_names,example_off_brands_raw,candidate_action,ownership_resolution_status_original,status_correction_note
u,u,Système U,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Système U,Manual review / complex ownership,Manual review / complex ownership,1953,Obvious Système U retailer/private-label brand line in France.,jus de carotte | 100% pur jus Multifruits | Multifruits 100% pur jus | Sirop Grenadine Zéro sucres | U Saveur Tropical,u | U | U | U | U,append_candidate,direct,
auchan,auchan,Auchan,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Auchan,Manual review / complex ownership,Manual review / complex ownership,1518,Obvious Auchan retailer/private-label brand line.,"beurre doux | beurre doux | BEURRE DOUX BIO | Fromage blanc 3,2 % MG | Parmiggiano reggiano",auchan | auchan | AUCHAN | Auchan | Auchan,append_candidate,direct,
auchan,auchan,Auchan,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Auchan,Manual review / complex ownership,Manual review / complex ownership,1380,Obvious Auchan retailer/private-label brand line.,Petit beurre | vienoiserie que varuabne | Abricotine | Galette Frangipane 8 Personnes | Paris brest,Auchan | auchan | Auchan | Auchan | Auchan,append_candidate,direct,
u,u,Système U,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Système U,Manual review / complex ownership,Manual review / complex ownership,1341,Obvious Système U retailer/private-label brand line in France.,chocolat noir | Tuiles salée a l'huile de tournesol | DONUTS FRAISE X4 | chocolat lait | tuiles goût salé,u | U | U | U | u,append_candidate,direct,
auchan,auchan,Auchan,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Auchan,Manual review / complex ownership,Manual review / complex ownership,1108,Obvious Auchan retailer/private-label brand line.,ORANGE SANGUINE | 100% pur jus pomme | Eau de source de montagne | Chocolat gourmand | café au lait,AUCHAN | Auchan | Auchan | Auchan | Auchan,append_candidate,direct,
u,u,Système U,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Système U,Manual review / complex ownership,Manual review / complex ownership,956,Obvious Système U retailer/private-label brand line in France.,Lait Frais Entier | Emmental râpé | BEAUFORT AOP | Crème anglaise | grana padano,U | U | U | U | U,append_candidate,direct,
carrefour,carrefour,Carrefour,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,874,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",COMTE EXTRA | Lait de Montagne demi-écrémé | comte harmonie | Sechon Chèvre | Raclette Rich. Mont,CARREFOUR | Carrefour | carrefour | Carrefour | Carrefour,append_candidate,direct,
marque repere,marque repere,E.Leclerc,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,778,Marque Repère is an E.Leclerc private-label brand.,Boisson au jus d'ananas | Thé vert menthe | Grenadine | Jus de pomme à base de concentré | Orange pur jus avec pulpe,"Marque Repère, Jafaden | Marque Repère | Marque Repère | Marque Repère | Marque Repère",append_candidate,direct,
danone,danone,Danone,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,approved_proposed_company_from_layer3_review,approve proposed,Danone,Danone,766,Proposed company mapping is concrete; approve for launch.,SKYR | Cottage Cheese | Mousse au fromage blanc sur lit de fruits | Danonino | Skyr,DANONE | Danone | Danone | Danone | Danone,append_candidate,direct,
carrefour,carrefour,Carrefour,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,728,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Madeleines moelleuses | Mini galette frangipane | Pain au chocolat | MERVEILLES saupoudrées de sucre cristal | Chouquettes,Carrefour | Carrefour | Carrefour | Carrefour | Carrefour,append_candidate,direct,
paturages,paturages,Les Mousquetaires / Intermarché,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Les Mousquetaires / Intermarché,Manual review / complex ownership,Manual review / complex ownership,702,Pâturages is an Intermarché / Les Mousquetaires private-label dairy line.,"Raclette | emmental français rapé | Fromage frais | Flan pâtissier | Faisselle | Yaourt sucre de canne x4 naturéa | Fromage frais nature 3,2% 4x100g | Lait écrémé 0% | Creme fraiche 30% mg epaisse 20cl | YAOURT AU LAIT ENTIER POT VERRE 4X125G - saveur citron | Lait uht 1/2 ecreme bbc bt 50cl | Yaourt au lait entier saveur vanille | Liegeois caramel 4x100g | L'essentiel du yaourt + des framboise & du sucre c'est tout | Mozzarella di bufala aop bio 125g | Fromage Le Carré tendre & fondant","Pâturages | paturages | Pâturages | pâturages | Pâturages | Intermarché, Pâturages | Intermarché, Pâturages | Intermarché, Pâturages | Intermarché,Paturages,Printiligne | Intermarché, Paturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Paturages (Intermarché), Pâturages | Intermarché Pâturages, Paturages | Leader Price, Intermarché, Pâturages",append_candidate,direct,
casino,casino,Groupe Casino,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Manual review / complex ownership,Manual review / complex ownership,634,Obvious Casino retailer/private-label brand line.,Comté extra 16/21 mois | Emmental français | Emmental Français Est-Central Grand Cru | Emmental bio | Emmental bio,"Casino | Casino | Casino | Casino, Casino Bio | Casino",append_candidate,direct,
casino,casino,Groupe Casino,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Manual review / complex ownership,Manual review / complex ownership,607,Obvious Casino retailer/private-label brand line.,Nectar orange | thé vert sencha | 100% pur jus Orange Sanguine de Sicile pressé | jus d Orange | Jus de pomme,"casino | Casino, casino bio | Casino | casino | Casino",append_candidate,direct,
casino,casino,Groupe Casino,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Groupe Casino,Manual review / complex ownership,Manual review / complex ownership,596,Obvious Casino retailer/private-label brand line.,Panettone aux raisin secs et aux écorces d orange confit | p'tits biscuits fourrage au lait bio | Cookies tout chocolat | Brownie familial | Crackers salés Casino,Casino | casino | Casino | Casino | Casino,append_candidate,direct,
monoprix,monoprix,Monoprix,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Monoprix,Manual review / complex ownership,Manual review / complex ownership,547,Obvious Monoprix retailer/private-label brand line.,Cantal | Cantal | Cantal | Cantal | Cantal,Monoprix | Monoprix | Monoprix | Monoprix | Monoprix,append_candidate,direct,
marque repere,marque repere,E.Leclerc,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,510,Marque Repère is an E.Leclerc private-label brand.,Ecuador | Noir extra | Chocours | Apéro roulés | Equador noir Extra 85% cacao,Marque Repère | Marque Repère | Marque Repère | Marque Repère | Marque Repère,append_candidate,direct,
leclerc,leclerc,E.Leclerc,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,464,Obvious E.Leclerc retailer/private-label brand line.,Mille feuille | Flan nature | Biscuits Vital au son d'avoine et canneberges | Biscuits Vital (chocolat 70%) | Biscuits Praeventia (chocolat),Leclerc | Leclerc | Leclerc | Leclerc | Leclerc,append_candidate,direct,
carrefour,carrefour,Carrefour,direct,beverages,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,441,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Eau de source de montagne | Multifruits | chicorée café | Fresh tonicité | pur jus d'orange,Carrefour | Carrefour | carrefour | Carrefour | Carrefour,append_candidate,direct,
lindt,lindt,Lindt & Sprüngli,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lindt & Sprüngli,Manual review / complex ownership,Manual review / complex ownership,417,Known Lindt brand / line.,Chocolat noir extra fin aux graines de sésame | Les Grandes 34% noisettes | Barre De Chocolat (extra Crémeux) | Lindt Excellence coconut | Lindt Swiss Thins | Ganache framboise,"Lindt | Lindt | Lindt | Lindt | Lindt | LINDT ET SPRÜNGLI, Lindt, Lindt Création",append_candidate,direct,
Lay's,lay's,PepsiCo,direct,snacks,US_CANADA,US_CANADA,United States,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Other / not mapped to a company,Other / not mapped to a company,410,Known PepsiCo brand / regional alias missing from proposed mapping.,"Sour Cream & Onion Potato Chips | Barbecue Flavored Potato Chips, Barbecue | Sour Cream & Onion Flavored Potato Chips, Sour Cream & Onion | BARBECUE FLAVORED POTATO CHIPS | Cheddar & Sour Cream Flavored Potato Chips, Cheddar & Sour Cream | Lay's Sea Salted Thick Cut Potato Chips | Lightly Salted Chips | Potato chips","Lay's | LAY'S | LAY'S | Lay's | LAY'S | Lay's,frito-lay,pepsico | Lay's,frito-lay,pepsico | Fritolay, Lay's",append_candidate,direct,
e.leclerc,e.leclerc,E.Leclerc,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to E.Leclerc,Manual review / complex ownership,Manual review / complex ownership,409,Obvious E.Leclerc retailer/private-label brand line.,"Pain chocolat | Brioche des rois | Chaussons aux pommes | 5 pains au chocolat beurre, les 3 meniers",E.Leclerc | E.Leclerc | E.Leclerc | E.Leclerc | E.Leclerc,append_candidate,direct,
Reflets de France,reflets de france,Carrefour,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,388,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",Tomette de brebis | Brie de Meaux AOP | COMTE RDF | Reblochon | Reblochon | Crottin de Touraine | Pont - l'Evêque AOP | Chabichou | Chaource AOP | Crème fraîche d'Isigny AOP,"Reflets de France | Reflets de France | Reflets de France | Reflets de France | Reflets de France | Carrefour,Reflets de France | Carrefour, Reflets de France | Carrefour,Interdis,Reflets de France | Carrefour, Reflets de France | Carrefour, Reflets de France",append_candidate,direct,
président,président,Lactalis,direct,dairies,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Lactalis,Manual review / complex ownership,Manual review / complex ownership,355,Known Lactalis brand.,beurre doux | Chevres chauds | Cancoillote | Crème de camembert | Beurre doux La Motte,président | President | Président | President | President,append_candidate,direct,
carrefour,carrefour,Carrefour,direct,beverages,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,350,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.",NECTAR partiellement à base de concentrés MULTIFRUITS | Decaffeinato | Limonade zero* | 100% pur jus jus d'orange sans pulpe | MANZANA Liqueur saveur pomme,Carrefour | Carrefour | Carrefour | Carrefour | Carrefour,append_candidate,direct,
Lay's,lay's,PepsiCo,direct,snacks,FRANCE,FRANCE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to PepsiCo,Other / not mapped to a company,Other / not mapped to a company,343,Known PepsiCo brand / regional alias missing from proposed mapping.,Chips tomate paprika | Chips (paysanne nature) | Stax salted | Chips Saveur Barbecue | Chips méditerranéennes | Laus nature | Lay's Recette à l'ancienne nature | Chips nature | Moutarde Pickles | Dégustation Goût & Craquant d'Exception,"Lay's | Lay's | Lay's | Lays | Lay's | Lay's, Lays, PepsiCo | Lay's, Lays, PepsiCo | Lay's, Pepsico | Lay's, PepsiCo | Lay's, PepsiCo",append_candidate,direct,
carrefour,carrefour,Carrefour,direct,snacks,FRANCE|SOUTHERN_EUROPE,FRANCE|SOUTHERN_EUROPE,France,layer3_review_decision_20260824,explicit_company_mapping_from_layer3_review,map to Carrefour,Manual review / complex ownership,Manual review / complex ownership,342,"Carrefour brand/private-label/store-format row; brand entity should stay as normalized_brand, parent_company should be Carrefour.","barrette ai cereali | Biscuits cuillers | P'tit Déj Pépites de chocolat | P'tit déj Saveur - Smaak Apricot, almonds & chocolate chips* | Blanc coco caramelisée",Carrefour | Carrefour | Carrefour | Carrefour | Carrefour,append_candidate,direct,
