review_rank,review_priority_bucket,review_priority_reason,review_suggestion,reviewer_decision,reviewer_note,barcode,product_name,brand,company,region,category,image_url,nutrition_quality_status,nutrition_quality_reason,energy_kcal_100g,energy_kcal_macro_calculated_100g,energy_kcal_macro_diff_abs,energy_kcal_macro_diff_pct,energy_kcal_macro_diff_pct_abs,protein_g_100g,carbs_g_100g,fat_g_100g,sugars_g_100g,saturated_fat_g_100g,fiber_g_100g,salt_g_100g,protein_g_per_100kcal,carbs_g_per_100kcal,fat_g_per_100kcal,include_in_product_explorer,include_in_market_overview_calculations,include_in_market_overview_charts,scenario_c_proposed_treatment,scenario_c_review_status,scenario_c_rationale
11062,high_fiber_possible_formula_explanation,Macro formula may overstate energy when fiber is included in carbohydrate or source fields differ.,candidate_for_rule_review,,,8710412036055,"Spelt, Quinoa & Cranberry",sultana,,BENELUX|FRANCE,snacks,https://images.openfoodfacts.org/images/products/871/041/203/6055/front_fr.28.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,398.0,477.2,-79.19999999999999,-0.1989949748743718,0.1989949748743718,7.4,70.5,18.4,19.6,0.8,6.5,0.7,1.8592964824120608,17.713567839195978,4.623115577889447,True,False,False,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by Scenario C re-inclusion buckets; hard errors and material non-beverage energy-macro gaps remain excluded by default.
11063,high_fiber_possible_formula_explanation,Macro formula may overstate energy when fiber is included in carbohydrate or source fields differ.,candidate_for_rule_review,,,888849011582,Cookies & Cream Crispy Protein Bar,quest,,DACH|US_CANADA,snacks,https://images.openfoodfacts.org/images/products/088/884/901/1582/front_en.137.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,288.0,419.2276923076919,-131.22769230769188,-0.4556517094017079,0.4556517094017079,34.6153846153846,44.23,11.5384615384615,1.92307692307692,9.61538461538461,11.5384615384615,1.105775,12.019230769230765,15.35763888888889,4.006410256410243,True,False,False,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by Scenario C re-inclusion buckets; hard errors and material non-beverage energy-macro gaps remain excluded by default.
11064,high_fiber_possible_formula_explanation,Macro formula may overstate energy when fiber is included in carbohydrate or source fields differ.,candidate_for_rule_review,,,5900334009432,Tymbark - Lychee Drink,tymbark,,FRANCE,beverages,,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,400.0,510.0,-110.0,-0.275,0.275,5.0,55.0,30.0,55.0,30.0,5.0,5.0,1.25,13.750000000000002,7.5,True,False,False,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by Scenario C re-inclusion buckets; hard errors and material non-beverage energy-macro gaps remain excluded by default.
11065,high_fiber_possible_formula_explanation,Macro formula may overstate energy when fiber is included in carbohydrate or source fields differ.,candidate_for_rule_review,,,3307139930404,Badiane étoiles,jardin bio,Léa Nature,FRANCE,beverages,https://images.openfoodfacts.org/images/products/330/713/993/0404/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,300.0,416.0,-116.0,-0.3866666666666666,0.3866666666666666,18.0,50.0,16.0,0.0,,15.0,,6.0,16.666666666666664,5.333333333333334,True,False,False,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by Scenario C re-inclusion buckets; hard errors and material non-beverage energy-macro gaps remain excluded by default.
11066,high_fiber_possible_formula_explanation,Macro formula may overstate energy when fiber is included in carbohydrate or source fields differ.,candidate_for_rule_review,,,3392075700310,Préparation pour chocolat chaud,angelina,,FRANCE,beverages,https://images.openfoodfacts.org/images/products/339/207/570/0310/front_fr.4.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,322.0390625,471.91953125,-149.88046874999998,-0.4654108342834962,0.4654108342834962,7.17890625,54.2609375,25.12890625,51.1609375,3.85734375,8.52734375,0.0580125,2.2292035612915746,16.849178816622594,7.803061546299217,True,False,False,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by Scenario C re-inclusion buckets; hard errors and material non-beverage energy-macro gaps remain excluded by default.
11067,high_fiber_possible_formula_explanation,Macro formula may overstate energy when fiber is included in carbohydrate or source fields differ.,candidate_for_rule_review,,,687385000025,Fanta orange,fanta,Coca-Cola,FRANCE,beverages,https://images.openfoodfacts.org/images/products/068/738/500/0025/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,220.0,325.0,-105.0,-0.4772727272727273,0.4772727272727273,0.0,25.0,25.0,0.0,15.0,15.0,0.3,0.0,11.363636363636363,11.363636363636363,True,False,False,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by Scenario C re-inclusion buckets; hard errors and material non-beverage energy-macro gaps remain excluded by default.
11068,high_fiber_possible_formula_explanation,Macro formula may overstate energy when fiber is included in carbohydrate or source fields differ.,candidate_for_rule_review,,,4251892600458,Keto Granola,unknown,,FRANCE,cereals,https://images.openfoodfacts.org/images/products/425/189/260/0458/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,421.0,530.9,-109.89999999999998,-0.2610451306413301,0.2610451306413301,12.1,34.9,38.1,3.2,12.3,29.3,0.0,2.874109263657957,8.28978622327791,9.049881235154396,True,False,False,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by Scenario C re-inclusion buckets; hard errors and material non-beverage energy-macro gaps remain excluded by default.
11069,high_fiber_possible_formula_explanation,Macro formula may overstate energy when fiber is included in carbohydrate or source fields differ.,candidate_for_rule_review,,,3564706604360,Muesli Chocolat-Noisette,grainea,,FRANCE,cereals,https://images.openfoodfacts.org/images/products/356/470/660/4360/front_fr.85.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,335.0,428.6,-93.60000000000002,-0.2794029850746269,0.2794029850746269,9.9,59.0,17.0,3.0,3.2,11.0,0.01,2.955223880597015,17.611940298507463,5.074626865671641,True,False,False,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by Scenario C re-inclusion buckets; hard errors and material non-beverage energy-macro gaps remain excluded by default.
11070,high_fiber_possible_formula_explanation,Macro formula may overstate energy when fiber is included in carbohydrate or source fields differ.,candidate_for_rule_review,,,9004617063305,Urkorn Muesli aux fruits,verival,,FRANCE,cereals,https://images.openfoodfacts.org/images/products/900/461/706/3305/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,341.0,504.4,-163.39999999999998,-0.4791788856304985,0.4791788856304985,7.8,67.0,22.8,28.0,0.5,8.9,0.07,2.287390029325513,19.64809384164223,6.686217008797654,True,False,False,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by Scenario C re-inclusion buckets; hard errors and material non-beverage energy-macro gaps remain excluded by default.
11071,high_fiber_possible_formula_explanation,Macro formula may overstate energy when fiber is included in carbohydrate or source fields differ.,candidate_for_rule_review,,,3760280180379,Muesli Speculoos toastés caramélisés,le bon grain,,FRANCE,cereals,https://images.openfoodfacts.org/images/products/376/028/018/0379/front_fr.3.400.jpg,energy_macro_inconsistency,energy_macro_difference_15pct_or_more,274.572281439394,433.0406355681821,-158.46835412878812,-0.5771462191960796,0.5771462191960796,8.73286170454545,49.6669672727273,22.1601466287879,24.5611995454545,2.03415627651515,5.36055303030303,0.0094015200757575,3.1805328850986165,18.088849687360096,8.07078795886368,True,False,False,remain_excluded_from_market_overview_calculations_and_charts,pending_julia_review,Not covered by Scenario C re-inclusion buckets; hard errors and material non-beverage energy-macro gaps remain excluded by default.
