brand_key,canonical_brand,top_matrix_brand,change_type,reason,current_parent_company,current_brand,current_primary_brand_db,current_category,current_hq_country,current_status,current_market_scope,current_region_codes_include,current_country_tags_include,current_country_tags_exclude,current_product_scope_note,current_notes,proposed_parent_company,proposed_brand,proposed_primary_brand_db,proposed_category,proposed_status,proposed_market_scope,proposed_scope_rule_type,proposed_region_codes_include,proposed_region_codes_exclude,proposed_country_tags_include,proposed_country_tags_exclude,proposed_product_scope_note,proposed_notes,source_type,needs_manual_review
acqua panna,Acqua Panna,Acqua Panna,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,acqua panna,acqua panna,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
aero,Aero,Aero,keep_unchanged,Current row matches proposed parent/status/scope.,Nestlé,aero,aero,snacks,CH,direct,,,,,,Chocolate confectionery brand; market scope varies,Nestlé,aero,aero,snacks,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
alfamino,Alfamino,Alfamino,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,alfamino,alfamino,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
alpo,Alpo,Alpo,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,alpo,alpo,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
antica gelateria del corso,Antica Gelateria Del Corso,Antica Gelateria Del Corso,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,antica gelateria del corso,antica gelateria del corso,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
baci perugina,Baci Perugina,Baci Perugina,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,baci perugina,baci perugina,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
bakers,Bakers,Bakers,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,bakers,bakers,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
bear brand,Bear Brand,Bear Brand,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,bear brand,bear brand,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list,official_company_brand_list,no
beggin,Beggin',Beggin',add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,beggin,beggin,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
beneful,Beneful,Beneful,add_proposed_row,Proposed source row has no current company mapping row for this owner.,,,,,,,,,,,,,Nestlé,beneful,beneful,food_beverage_review,direct,Global / no market exception in source,global_direct,,,,,,Official Nestlé A-Z brand list; likely outside food/beverage MVP scope,official_company_brand_list,no
