normalized_brand,primary_brand_db,parent_company,ownership_resolution_status,category_scope,market_scope,region_codes_include,country_or_region,brand_mapping_source,source_note,review_decision,proposed_company_from_review,current_company_from_review,review_product_count,review_note,example_product_names,example_off_brands_raw,candidate_action,ownership_resolution_status_original,status_correction_note
wawa,wawa,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,906,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Wawa, Pumpkin Caramel Iced Latte, 16 Oz | Diet Green Tea | Cranberry juice coctail | Diet Half & Half Iced Tea Lemonade | Diet Iced Tea",Wawa | Wawa | Wawa | Wawa | Wawa,append_candidate,,
haribo,haribo,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,836,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Chamallows | happy'box | Haribo star mint | Peaches Kosher | Twin cherries gummi candy,Haribo | haribo | Haribo | Haribo | Haribo,append_candidate,,
yoplait,yoplait,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,645,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,yaourt nature sucré | Source greek grec | Tubes vanille | Yaourt pat patrouille | Petits Filous | Calin,"yoplait | Yoplait | Yoplait | Yoplait | Yoplait | General Mills, Sodiaal, Yoplait",append_candidate,,
hema,hema,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,643,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Dutch honey waffles | Blode Hjerter | Biscuits muli cereales aux raisins | Sweet Christmas Candy | Lapin Chocolat au Lait,Hema | Hema | Hema | Hema | Hema,append_candidate,,
leader price,leader price,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,630,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Queso manchego | Saint Nectaire Laitier | Comté AOP (34% MG) - 323 g - Leader Price | beurre moulé doux | Fromage à tartiner,Leader Price | Leader Price | Leader Price | Leader Price | Leader Price,append_candidate,,
lipton,lipton,Manual review / complex ownership,manual_review,beverages,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,610,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Infusion | Iced Tea Peach | Tisane pêche et mangue naturellement sans caféine | Thé Infusion Fruits | thé orange jaïpur | Lipton Infusion Rooibos Vanille 12 Capsules Compatibles Dolce Gusto®,"Lipton | Lipton | Lipton | Lipton | Lipton | Nestlé, Lipton",append_candidate,,
starbucks,starbucks,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,596,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"DoubleShot Energy | Starbucks Medium Roast Latin American Blend Iced Coffee 11 Fluid Ounce Glass Bottle | Starbucks Refreshers Strawberry Lemonade 8.4 Oz Can | Starbucks Refreshers Acai Blueberry 8.4 Oz Can | Iced Coffee, Medium Roast",Starbucks | Starbucks | Starbucks | Starbucks | Starbucks,append_candidate,,
leader price,leader price,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,578,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Crackers | Goûters fourrés | Sablés au chocolat au lait pur beurre de cacao | CROISSANTS X 4 PAIN AU CHOCOLAT X 4 PUR BEURRE | Cookies pépites de chocolat et nougatine,Leader Price | Leader Price | Leader Price | Leader Price | Leader Price,append_candidate,,
nestle,nestle,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,535,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Coffee Whitener Hazelnut Powder | Velours de Crème Chocolat au lait | ferme et fondant | Nestlé la laitière crème aux oeufs vanille | Nestlé p'tit onctueux,"Nestlé | Nestlé, La Laitière | Nestlé | Nestlé | Nestlé",append_candidate,,
papa johns,papa johns,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,478,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Papa John's, Blueberry Pomegranate, 16 Oz | Papa John's, Schweppes Ginger Ale, 12 Oz | Papa John's, Welchs Grape Soda, 20 Oz | Papa John's, Mountain Dew Voltage, 2 Liter | Papa John's, Crystal Pepsi, 20 Oz",Papa John's | Papa John's | Papa John's | Papa John's | Papa John's,append_candidate,,
sonic,sonic,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,477,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Sonic, Frozen Lemonade, Large | Cherry Limeade Zero Sugar Drink Mix | Sonic, Mello Yello, Large | Sonic, Powerade Mountain Blast, Small | Sonic, Banana Cream Pie Shake, Large",Sonic | SONIC | Sonic | Sonic | Sonic,append_candidate,,
tgi fridays,tgi fridays,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,472,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"TGI Friday's, Frappe, Vanilla | TGI Friday's, Strawberry Passion Fruit Tea | TGI Friday's, Coffee Bean & Tea Leaf, Tea, Apricot | TGI Friday's, Blue Raspberry Slush | TGI Friday's, Buttery Nipple",TGI Friday's | TGI Friday's | TGI Friday's | TGI Friday's | TGI Friday's,append_candidate,,
nestle,nestle,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,457,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,Galak | KIT KAT THÉ VERT | Kit Kat Mint Créme & Cookie Smash | Kit Kat Bar White | Kit Kat Cookies & Cream,Nestlé | Nestlé | Nestlé | Nestlé | Nestlé,append_candidate,,
firehouse subs,firehouse subs,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,455,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Firehouse Subs, Fruitwater Fizzy Mixed Berry, 44 Fl Oz | Firehouse Subs, FUZE Diet Lemon Tea, 44 Fl Oz | Firehouse Subs, Firehouse Subs Cherry Lime-aide Light, 44 Fl Oz | Firehouse Subs, Pibb Zero Cherry Vanilla, 22 Fl Oz | Firehouse Subs, Minute Maid Light Lemonade, 22 Fl Oz",Firehouse Subs | Firehouse Subs | Firehouse Subs | Firehouse Subs | Firehouse Subs,append_candidate,,
cora,cora,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,443,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,barquette chocolat noisette | Gauffre sucree | chocolat dessert noir | Pain au chocolat tournesol ×4 | Pain chocolat,cora | Cora | Cora | Cora | Cora,append_candidate,,
delisse,delisse,Manual review / complex ownership,manual_review,dairies,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,426,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Fromage blanc au lait entier | Yaourts aux fruits avec morceaux, abricot ananas pêche poire | Lait demi ecreme | lait écrémé stérilisé uht | crème fraîche légère épaisse",Délisse | Délisse | Délisse | Délisse | Délisse,append_candidate,,
red robin,red robin,Manual review / complex ownership,manual_review,beverages,US_CANADA,,United States,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,406,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,"Red Robin, Coco Loco | Red Robin, Classic Chocolate Malt, Kid | Red Robin, Strawberry Malt, Monster | Red Robin, Sweet Tea, Raspberry | Red Robin, MGD 64",Red Robin | Red Robin | Red Robin | Red Robin | Red Robin,append_candidate,,
st michel,st michel,Manual review / complex ownership,manual_review,snacks,FRANCE,,France,layer3_review_decision_20260824,manual_review_from_layer3_review,manual review,Manual review / complex ownership,Manual review / complex ownership,397,Complex ownership/private-label/brand-line case; do not force automatic mapping before launch.,madeleine | Cocottes cereales | madeleine recette de commercy | La Grande Galette French Butter Cookies | Madeleines saint Michel,st michel | St Michel | St Michel | St Michel | St Michel,append_candidate,,
